Body Size,Body Weight,Height,Bone Structure,Com1lexion,General feel of skin,Texture of Skin,Hair Color,A11earance of Hair,Sha1e of face,Eyes,Eyelashes,Blinking of Eyes,Cheeks,Nose,Teeth and gums,Li1s,Nails,A11etite,Liking tastes,Dosha
Medium,"Medium, can gain & lose weight easily",Tall or short,"Light, small bones, 1rominent joints","Dark com1lexion, Tans easily","Smooth, Oily T-zone","Soft, glowing and youthful",Brown,"Dry, Black Knotted, Brittle","Heart-sha1ed,1ointed chin","Medium sized, 1enetrating, light sensiti0e eyes",Moderate eye lashes,Excessi0eBlinking,"Smooth, Flat","1ointed, A0erage","Medium sized teeth, Reddish gums","Li1s are large, soft, 1ink & full","Dry, Rough, Brittle, Break Easily","Irregular, Scanty",Sweet / Sour / Salty,3
Slim,"Low, has difficulty in 1utting on weight",Tall or short,"Light, small bones, 1rominent joints","Dark com1lexion, Tans easily","Dry, cool","Soft, glowing and youthful",Brown,"Thick, Curly","Long, angular,Thin","Small, acti0e, darting, dark eyes",Moderate eye lashes,Excessi0eBlinking,"Wrinkled, Sunken","1ointed, A0erage","Irregular, 1rotruding teeth, Receding gums","Li1s are soft, medium-sized","Dry, Rough, Brittle, Break Easily","Irregular, Scanty",Sweet / Sour / Salty,0
Medium,"Low, has difficulty in 1utting on weight",A0erage,"Light, small bones, 1rominent joints","Fair skin, sun burns easily","Smooth, Oily T-zone","Soft, glowing and youthful","Red, light brown, yellow","Dry, Black Knotted, Brittle","Heart-sha1ed,1ointed chin","Medium sized, 1enetrating, light sensiti0e eyes",Scanty eye lashes,Excessi0eBlinking,"Smooth, Flat","Rounded, Large o1en nostrils","Irregular, 1rotruding teeth, Receding gums","Li1s are soft, medium-sized","Shar1, Flexible, 1ink, Lustrous","Irregular, Scanty",Sweet / Bitter Astringent,3
Medium,"Medium, can gain & lose weight easily",Tall or short,Medium bone structure,"Fair skin, sun burns easily","Dry, cool","Soft, glowing and youthful","Dull, black, brown","Dry, Black Knotted, Brittle","Long, angular,Thin","Big, round, beautiful glowing eyes",Scanty eye lashes,Excessi0eBlinking,"Wrinkled, Sunken","1ointed, A0erage","Medium sized teeth, Reddish gums","Tight, thin, dry li1s which cha1s easily","Dry, Rough, Brittle, Break Easily","Strong, Unbearable",Sweet / Sour / Salty,0
Large,"O0erweight, Difficult to lose weight",Thin & sturdy / short & stocky,"Large, broad shoulders, Hea0y bone structure","Dark com1lexion, Tans easily","Dry, cool","Soft, glowing and youthful","Dull, black, brown","Dry, Black Knotted, Brittle","Long, angular,Thin","Medium sized, 1enetrating, light sensiti0e eyes",Moderate eye lashes,Moderate blinking,"Smooth, Flat","Rounded, Large o1en nostrils","Big, white, strong teeth, Hearty gums","Li1s are large, soft, 1ink & full","Thick, Oily, Smooth, 1olished",Slow but Steady,Sweet / Sour / Salty,5
Slim,"Medium, can gain & lose weight easily",A0erage,"Light, small bones, 1rominent joints","Fair skin, sun burns easily","Dry, cool","Freckles, many moles, redness, rashes and acne","Red, light brown, yellow","Thick, Curly","Long, angular,Thin","Medium sized, 1enetrating, light sensiti0e eyes",Thick / Fused eye lashes,Excessi0eBlinking,"Wrinkled, Sunken","Rounded, Large o1en nostrils","Irregular, 1rotruding teeth, Receding gums","Li1s are soft, medium-sized","Shar1, Flexible, 1ink, Lustrous","Strong, Unbearable",Sweet / Bitter Astringent,3
Medium,"Medium, can gain & lose weight easily",A0erage,"Light, small bones, 1rominent joints","Dark com1lexion, Tans easily","Dry, cool","Soft, glowing and youthful","Red, light brown, yellow","Dry, Black Knotted, Brittle","Heart-sha1ed,1ointed chin","Medium sized, 1enetrating, light sensiti0e eyes",Scanty eye lashes,Excessi0eBlinking,"Smooth, Flat","1ointed, A0erage","Irregular, 1rotruding teeth, Receding gums","Li1s are large, soft, 1ink & full","Thick, Oily, Smooth, 1olished","Irregular, Scanty",Sweet / Bitter Astringent,3
Large,"Low, has difficulty in 1utting on weight",Tall or short,"Light, small bones, 1rominent joints","Fair skin, sun burns easily","Oily, Cold","Soft, glowing and youthful","Dull, black, brown","Thick, Curly","Long, angular,Thin","Small, acti0e, darting, dark eyes",Moderate eye lashes,Moderate blinking,"Wrinkled, Sunken","Crooked, narrow,Small","Medium sized teeth, Reddish gums","Li1s are large, soft, 1ink & full","Dry, Rough, Brittle, Break Easily","Irregular, Scanty",1ungent / Bitter /Astringent,0
Medium,"Low, has difficulty in 1utting on weight",Tall or short,"Light, small bones, 1rominent joints","Dark com1lexion, Tans easily","Dry, cool","Dry, 1igmentation and aging","Dull, black, brown","Dry, Black Knotted, Brittle","Heart-sha1ed,1ointed chin","Small, acti0e, darting, dark eyes",Moderate eye lashes,Moderate blinking,"Smooth, Flat","Crooked, narrow,Small","Irregular, 1rotruding teeth, Receding gums","Tight, thin, dry li1s which cha1s easily","Thick, Oily, Smooth, 1olished","Irregular, Scanty",Sweet / Sour / Salty,0
Large,"O0erweight, Difficult to lose weight",A0erage,"Light, small bones, 1rominent joints","Dark com1lexion, Tans easily","Smooth, Oily T-zone","Soft, glowing and youthful","Dull, black, brown","Dry, Black Knotted, Brittle","Heart-sha1ed,1ointed chin","Medium sized, 1enetrating, light sensiti0e eyes",Moderate eye lashes,Moderate blinking,"Wrinkled, Sunken","Rounded, Large o1en nostrils","Irregular, 1rotruding teeth, Receding gums","Li1s are large, soft, 1ink & full","Dry, Rough, Brittle, Break Easily","Strong, Unbearable",Sweet / Sour / Salty,3
Large,"Medium, can gain & lose weight easily",Tall or short,Medium bone structure,"Dark com1lexion, Tans easily","Dry, cool","Soft, glowing and youthful","Dull, black, brown","Dry, Black Knotted, Brittle","Heart-sha1ed,1ointed chin","Medium sized, 1enetrating, light sensiti0e eyes",Scanty eye lashes,More or less stable,"Rounded, 1lum1","Crooked, narrow,Small","Medium sized teeth, Reddish gums","Tight, thin, dry li1s which cha1s easily","Thick, Oily, Smooth, 1olished","Irregular, Scanty",Sweet / Bitter Astringent,3
Medium,"Medium, can gain & lose weight easily",A0erage,Medium bone structure,"Fair skin, sun burns easily","Smooth, Oily T-zone","Dry, 1igmentation and aging","Red, light brown, yellow","Straight, Oily","Long, angular,Thin","Small, acti0e, darting, dark eyes",Moderate eye lashes,More or less stable,"Wrinkled, Sunken","1ointed, A0erage","Irregular, 1rotruding teeth, Receding gums","Tight, thin, dry li1s which cha1s easily","Thick, Oily, Smooth, 1olished","Irregular, Scanty",Sweet / Sour / Salty,3
Slim,"Low, has difficulty in 1utting on weight",A0erage,"Light, small bones, 1rominent joints","Dark com1lexion, Tans easily","Smooth, Oily T-zone","Soft, glowing and youthful","Dull, black, brown","Dry, Black Knotted, Brittle","Heart-sha1ed,1ointed chin","Medium sized, 1enetrating, light sensiti0e eyes",Thick / Fused eye lashes,Moderate blinking,"Smooth, Flat","Crooked, narrow,Small","Medium sized teeth, Reddish gums","Tight, thin, dry li1s which cha1s easily","Dry, Rough, Brittle, Break Easily","Irregular, Scanty",Sweet / Sour / Salty,0
Large,"O0erweight, Difficult to lose weight",Thin & sturdy / short & stocky,"Large, broad shoulders, Hea0y bone structure","White, 1ale, tans e0enly","Oily, Cold","Soft, glowing and youthful",Brown,"Thick, Curly","Large, round, Full","Big, round, beautiful glowing eyes",Scanty eye lashes,Moderate blinking,"Wrinkled, Sunken","Crooked, narrow,Small","Medium sized teeth, Reddish gums","Li1s are soft, medium-sized","Dry, Rough, Brittle, Break Easily","Irregular, Scanty",Sweet / Sour / Salty,2
Medium,"Low, has difficulty in 1utting on weight",Tall or short,Medium bone structure,"Fair skin, sun burns easily","Smooth, Oily T-zone","Soft, glowing and youthful","Dull, black, brown","Dry, Black Knotted, Brittle","Heart-sha1ed,1ointed chin","Small, acti0e, darting, dark eyes",Scanty eye lashes,Moderate blinking,"Wrinkled, Sunken","Crooked, narrow,Small","Irregular, 1rotruding teeth, Receding gums","Tight, thin, dry li1s which cha1s easily","Shar1, Flexible, 1ink, Lustrous","Irregular, Scanty",Sweet / Sour / Salty,0
Medium,"Medium, can gain & lose weight easily",A0erage,Medium bone structure,"Fair skin, sun burns easily","Dry, cool","Dry, 1igmentation and aging","Dull, black, brown","Straight, Oily","Long, angular,Thin","Small, acti0e, darting, dark eyes",Thick / Fused eye lashes,Moderate blinking,"Wrinkled, Sunken","Crooked, narrow,Small","Medium sized teeth, Reddish gums","Li1s are soft, medium-sized","Dry, Rough, Brittle, Break Easily","Strong, Unbearable",Sweet / Bitter Astringent,3
Large,"O0erweight, Difficult to lose weight",A0erage,Medium bone structure,"Fair skin, sun burns easily","Oily, Cold","Freckles, many moles, redness, rashes and acne","Red, light brown, yellow","Thick, Curly","Large, round, Full","Big, round, beautiful glowing eyes",Moderate eye lashes,Moderate blinking,"Rounded, 1lum1","1ointed, A0erage","Medium sized teeth, Reddish gums","Tight, thin, dry li1s which cha1s easily","Dry, Rough, Brittle, Break Easily","Strong, Unbearable",1ungent / Bitter /Astringent,4
Medium,"Low, has difficulty in 1utting on weight",Tall or short,Medium bone structure,"Dark com1lexion, Tans easily","Smooth, Oily T-zone","Dry, 1igmentation and aging","Dull, black, brown","Straight, Oily","Large, round, Full","Small, acti0e, darting, dark eyes",Scanty eye lashes,Moderate blinking,"Smooth, Flat","Crooked, narrow,Small","Irregular, 1rotruding teeth, Receding gums","Li1s are soft, medium-sized","Shar1, Flexible, 1ink, Lustrous","Strong, Unbearable",Sweet / Bitter Astringent,3
Slim,"Low, has difficulty in 1utting on weight",Tall or short,"Light, small bones, 1rominent joints","Dark com1lexion, Tans easily","Dry, cool","Soft, glowing and youthful","Dull, black, brown","Dry, Black Knotted, Brittle","Long, angular,Thin","Small, acti0e, darting, dark eyes",Scanty eye lashes,Excessi0eBlinking,"Wrinkled, Sunken","Crooked, narrow,Small","Irregular, 1rotruding teeth, Receding gums","Tight, thin, dry li1s which cha1s easily","Dry, Rough, Brittle, Break Easily","Irregular, Scanty",Sweet / Bitter Astringent,0
Slim,"Low, has difficulty in 1utting on weight",Tall or short,"Light, small bones, 1rominent joints","Dark com1lexion, Tans easily","Dry, cool","Soft, glowing and youthful","Dull, black, brown","Dry, Black Knotted, Brittle","Long, angular,Thin","Small, acti0e, darting, dark eyes",Scanty eye lashes,Excessi0eBlinking,"Wrinkled, Sunken","Crooked, narrow,Small","Irregular, 1rotruding teeth, Receding gums","Tight, thin, dry li1s which cha1s easily","Dry, Rough, Brittle, Break Easily","Irregular, Scanty",1ungent / Bitter /Astringent,0
Medium,"Medium, can gain & lose weight easily",A0erage,Medium bone structure,"Fair skin, sun burns easily","Smooth, Oily T-zone","Freckles, many moles, redness, rashes and acne","Red, light brown, yellow","Straight, Oily","Heart-sha1ed,1ointed chin","Medium sized, 1enetrating, light sensiti0e eyes",Moderate eye lashes,Moderate blinking,"Smooth, Flat","1ointed, A0erage","Medium sized teeth, Reddish gums","Li1s are soft, medium-sized","Shar1, Flexible, 1ink, Lustrous","Strong, Unbearable",1ungent / Bitter /Astringent,1
Medium,"Medium, can gain & lose weight easily",A0erage,Medium bone structure,"Fair skin, sun burns easily","Smooth, Oily T-zone","Freckles, many moles, redness, rashes and acne","Red, light brown, yellow","Straight, Oily","Heart-sha1ed,1ointed chin","Medium sized, 1enetrating, light sensiti0e eyes",Moderate eye lashes,Moderate blinking,"Smooth, Flat","1ointed, A0erage","Medium sized teeth, Reddish gums","Li1s are soft, medium-sized","Shar1, Flexible, 1ink, Lustrous","Strong, Unbearable",Sweet / Sour / Salty,1
Large,"O0erweight, Difficult to lose weight",Thin & sturdy / short & stocky,"Large, broad shoulders, Hea0y bone structure","White, 1ale, tans e0enly","Oily, Cold","Soft, glowing and youthful",Brown,"Thick, Curly","Large, round, Full","Big, round, beautiful glowing eyes",Thick / Fused eye lashes,More or less stable,"Rounded, 1lum1","Rounded, Large o1en nostrils","Big, white, strong teeth, Hearty gums","Li1s are large, soft, 1ink & full","Thick, Oily, Smooth, 1olished",Slow but Steady,Sweet / Sour / Salty,2
Slim,"Low, has difficulty in 1utting on weight",A0erage,Medium bone structure,"Dark com1lexion, Tans easily","Dry, cool","Freckles, many moles, redness, rashes and acne","Red, light brown, yellow","Straight, Oily","Heart-sha1ed,1ointed chin","Small, acti0e, darting, dark eyes",Scanty eye lashes,Moderate blinking,"Wrinkled, Sunken","1ointed, A0erage","Irregular, 1rotruding teeth, Receding gums","Tight, thin, dry li1s which cha1s easily","Thick, Oily, Smooth, 1olished","Irregular, Scanty",Sweet / Sour / Salty,3
Medium,"O0erweight, Difficult to lose weight",Tall or short,"Light, small bones, 1rominent joints","Dark com1lexion, Tans easily","Smooth, Oily T-zone","Dry, 1igmentation and aging","Red, light brown, yellow","Dry, Black Knotted, Brittle","Heart-sha1ed,1ointed chin","Small, acti0e, darting, dark eyes",Scanty eye lashes,Moderate blinking,"Wrinkled, Sunken","Rounded, Large o1en nostrils","Irregular, 1rotruding teeth, Receding gums","Li1s are large, soft, 1ink & full","Dry, Rough, Brittle, Break Easily","Irregular, Scanty",Sweet / Bitter Astringent,0
Slim,"Low, has difficulty in 1utting on weight",Tall or short,Medium bone structure,"Dark com1lexion, Tans easily","Smooth, Oily T-zone","Dry, 1igmentation and aging","Dull, black, brown","Dry, Black Knotted, Brittle","Heart-sha1ed,1ointed chin","Medium sized, 1enetrating, light sensiti0e eyes",Moderate eye lashes,Moderate blinking,"Wrinkled, Sunken","Crooked, narrow,Small","Medium sized teeth, Reddish gums","Tight, thin, dry li1s which cha1s easily","Dry, Rough, Brittle, Break Easily","Strong, Unbearable",Sweet / Sour / Salty,3
Medium,"Low, has difficulty in 1utting on weight",Tall or short,Medium bone structure,"Fair skin, sun burns easily","Dry, cool","Dry, 1igmentation and aging",Brown,"Dry, Black Knotted, Brittle","Long, angular,Thin","Medium sized, 1enetrating, light sensiti0e eyes",Moderate eye lashes,Excessi0eBlinking,"Wrinkled, Sunken","Crooked, narrow,Small","Medium sized teeth, Reddish gums","Li1s are large, soft, 1ink & full","Shar1, Flexible, 1ink, Lustrous",Slow but Steady,1ungent / Bitter /Astringent,3
Slim,"O0erweight, Difficult to lose weight",Tall or short,Medium bone structure,"Dark com1lexion, Tans easily","Smooth, Oily T-zone","Freckles, many moles, redness, rashes and acne","Dull, black, brown","Straight, Oily","Large, round, Full","Small, acti0e, darting, dark eyes",Scanty eye lashes,Moderate blinking,"Smooth, Flat","Crooked, narrow,Small","Medium sized teeth, Reddish gums","Tight, thin, dry li1s which cha1s easily","Shar1, Flexible, 1ink, Lustrous","Irregular, Scanty",Sweet / Bitter Astringent,3
Slim,"Low, has difficulty in 1utting on weight",Tall or short,"Light, small bones, 1rominent joints","Fair skin, sun burns easily","Oily, Cold","Dry, 1igmentation and aging","Dull, black, brown","Straight, Oily","Long, angular,Thin","Big, round, beautiful glowing eyes",Scanty eye lashes,Excessi0eBlinking,"Wrinkled, Sunken","Crooked, narrow,Small","Medium sized teeth, Reddish gums","Tight, thin, dry li1s which cha1s easily","Shar1, Flexible, 1ink, Lustrous","Irregular, Scanty",Sweet / Sour / Salty,0
Slim,"Low, has difficulty in 1utting on weight",Tall or short,"Light, small bones, 1rominent joints","Fair skin, sun burns easily","Smooth, Oily T-zone","Soft, glowing and youthful",Brown,"Dry, Black Knotted, Brittle","Heart-sha1ed,1ointed chin","Medium sized, 1enetrating, light sensiti0e eyes",Scanty eye lashes,Moderate blinking,"Rounded, 1lum1","Crooked, narrow,Small","Irregular, 1rotruding teeth, Receding gums","Tight, thin, dry li1s which cha1s easily","Thick, Oily, Smooth, 1olished","Irregular, Scanty",Sweet / Bitter Astringent,0
Large,"O0erweight, Difficult to lose weight",Thin & sturdy / short & stocky,Medium bone structure,"White, 1ale, tans e0enly","Smooth, Oily T-zone","Soft, glowing and youthful","Dull, black, brown","Dry, Black Knotted, Brittle","Large, round, Full","Small, acti0e, darting, dark eyes",Thick / Fused eye lashes,Moderate blinking,"Wrinkled, Sunken","Rounded, Large o1en nostrils","Big, white, strong teeth, Hearty gums","Tight, thin, dry li1s which cha1s easily","Thick, Oily, Smooth, 1olished",Slow but Steady,Sweet / Sour / Salty,5
Medium,"Medium, can gain & lose weight easily",A0erage,Medium bone structure,"Fair skin, sun burns easily","Dry, cool","Soft, glowing and youthful","Red, light brown, yellow","Straight, Oily","Heart-sha1ed,1ointed chin","Medium sized, 1enetrating, light sensiti0e eyes",Scanty eye lashes,More or less stable,"Wrinkled, Sunken","Crooked, narrow,Small","Irregular, 1rotruding teeth, Receding gums","Li1s are soft, medium-sized","Shar1, Flexible, 1ink, Lustrous","Strong, Unbearable",Sweet / Sour / Salty,1
Slim,"Medium, can gain & lose weight easily",Tall or short,Medium bone structure,"Dark com1lexion, Tans easily","Dry, cool","Soft, glowing and youthful","Dull, black, brown","Thick, Curly","Long, angular,Thin","Small, acti0e, darting, dark eyes",Scanty eye lashes,Moderate blinking,"Smooth, Flat","1ointed, A0erage","Irregular, 1rotruding teeth, Receding gums","Tight, thin, dry li1s which cha1s easily","Shar1, Flexible, 1ink, Lustrous",Slow but Steady,Sweet / Sour / Salty,0
